Order ID	Customer ID	Product Name	Quantity	Price per Unit	Total Price	Order Date	Status
1052	106	Monitor	2	923	1846	2025-04-01	Delivered
1053	133	Keyboard	3	1107	3321	2025-02-12	Processing
1054	159	Printer	3	883	2649	2025-01-19	Cancelled
1055	200	Tablet	3	817	2451	2025-01-05	Cancelled
1056	103	Printer	1	1808	1808	2025-01-04	Cancelled
1057	152	Camera	5	545	2725	2025-02-12	Cancelled
1058	127	Tablet	3	1096	3288	2025-03-19	Shipped
1059	194	Keyboard	1	1196	1196	2025-03-01	Delivered
1060	160	Laptop	4	1375	5500	2025-02-13	Cancelled
1061	108	Headphones	5	456	2280	2025-03-28	Processing
1062	196	Headphones	3	1156	3468	2025-03-31	Cancelled
1063	191	Printer	4	1034	4136	2025-01-07	Processing
1064	168	Monitor	1	984	984	2025-02-14	Processing
1065	115	Camera	1	1422	1422	2025-02-20	Delivered
1066	175	Camera	4	1708	6832	2025-01-30	Processing
1067	104	Smartphone	1	1651	1651	2025-02-12	Cancelled
1068	128	Tablet	2	523	1046	2025-03-10	Cancelled
1069	118	Printer	3	1598	4794	2025-03-18	Cancelled
1070	136	Smartwatch	3	349	1047	2025-02-02	Shipped
1071	108	Printer	3	1717	5151	2025-02-04	Shipped
1072	148	Tablet	5	1906	9530	2025-01-17	Shipped
1073	145	Camera	3	578	1734	2025-02-05	Shipped
1074	112	Printer	5	675	3375	2025-02-02	Shipped
1075	115	Tablet	3	372	1116	2025-01-29	Delivered
1076	101	Headphones	1	58	58	2025-02-19	Shipped
1077	184	Camera	1	1559	1559	2025-01-28	Processing
1078	125	Headphones	1	585	585	2025-01-29	Shipped
1079	113	Keyboard	1	884	884	2025-03-03	Shipped
1080	186	Printer	3	66	198	2025-01-20	Cancelled
1081	143	Monitor	1	1493	1493	2025-03-11	Shipped
1082	109	Smartphone	2	1943	3886	2025-03-07	Processing
1083	116	Monitor	2	1284	2568	2025-02-11	Delivered
1084	193	Printer	1	1605	1605	2025-01-16	Delivered
1085	174	Laptop	3	179	537	2025-01-29	Delivered
1086	101	Headphones	3	406	1218	2025-03-16	Delivered
1087	155	Smartwatch	2	675	1350	2025-02-19	Processing
1088	133	Headphones	4	50	200	2025-03-05	Shipped
1089	185	Smartphone	1	1332	1332	2025-01-10	Shipped
1090	192	Printer	2	1956	3912	2025-02-01	Delivered
1091	128	Printer	5	1464	7320	2025-02-13	Cancelled
1092	154	Camera	4	733	2932	2025-03-29	Cancelled
1093	121	Smartphone	5	458	2290	2025-03-27	Processing
1094	134	Camera	1	1943	1943	2025-03-10	Cancelled
1095	113	Tablet	2	1394	2788	2025-03-18	Delivered
1096	106	Camera	1	524	524	2025-02-16	Shipped
1097	197	Headphones	2	784	1568	2025-03-18	Processing
1098	122	Printer	4	944	3776	2025-01-24	Shipped
1099	131	Tablet	4	1859	7436	2025-03-15	Delivered
1100	180	Printer	5	904	4520	2025-03-17	Processing
